pos,param,trainMSE,valMSE
"(30.5, 79.5)","((2, 1, 1), (1, 0, 2, 12))",5.672,8.935
"(30.5, 80.5)","((3, 1, 1), (3, 0, 0, 12))",30.339,39.62
"(31.5, 74.5)","((3, 1, 1), (5, 0, 2, 12))",5.46,9.095
"(31.5, 75.5)","((1, 0, 0), (1, 0, 3, 12))",4.442,12.519
"(31.5, 76.5)","((1, 0, 0), (3, 0, 1, 12))",4.45,19.331
"(31.5, 77.5)","((0, 0, 1), (3, 0, 0, 12))",4.88,5.978
"(31.5, 78.5)","((0, 0, 2), (0, 0, 0, 12))",10.734,6.318
"(32.5, 75.5)","((2, 1, 1), (3, 0, 1, 12))",6.022,22.298
"(32.5, 76.5)","((3, 1, 1), (3, 0, 1, 12))",9.039,9.574
"(32.5, 77.5)","((1, 0, 2), (0, 0, 0, 12))",4.537,5.285
"(32.5, 78.5)","((0, 0, 2), (0, 0, 0, 12))",17.659,5.3
"(33.5, 73.5)","((0, 0, 1), (2, 0, 0, 12))",10.029,8.692
"(33.5, 74.5)","((2, 0, 0), (2, 0, 0, 12))",5.619,18.517
"(33.5, 75.5)","((2, 0, 3), (0, 0, 2, 12))",7.592,9.903
"(33.5, 76.5)","((2, 1, 1), (0, 0, 3, 12))",7.795,27.412
"(33.5, 77.5)","((1, 0, 4), (0, 0, 0, 12))",1.828,1.151
"(33.5, 78.5)","((2, 0, 1), (0, 0, 0, 12))",2.781,0.217
"(34.5, 73.5)","((1, 0, 1), (2, 0, 0, 12))",5.514,7.26
"(34.5, 74.5)","((1, 0, 1), (2, 0, 0, 12))",4.023,6.397
"(34.5, 75.5)","((5, 1, 0), (2, 0, 0, 12))",4.486,5.009
"(34.5, 76.5)","((1, 0, 1), (0, 0, 1, 12))",2.463,1.277
"(34.5, 77.5)","((1, 0, 2), (1, 0, 1, 12))",1.731,2.904
"(34.5, 78.5)","((1, 0, 1), (0, 0, 0, 12))",1.95,0.853
